"title","hit","url","page"
"이재명은 승부수를 던졋네요","0","https://www.clien.net//service/board/park/14635021?od=T31&po=0&category=&groupCd=","0"
"방금 후배한테 들은 신천지 이야기","113","https://www.clien.net//service/board/park/14635018?od=T31&po=0&category=&groupCd=","0"
"부산 코스트코 폐쇄네요","291","https://www.clien.net//service/board/park/14635017?od=T31&po=0&category=&groupCd=","0"
"외국인 텔레그램 채팅방에 있는데요. 어떤 사람이 후방 사진을 올리니","171","https://www.clien.net//service/board/park/14635016?od=T31&po=0&category=&groupCd=","0"
"베놈2 카니지와 감독.jpg","623","https://www.clien.net//service/board/park/14635014?od=T31&po=0&category=&groupCd=","0"
"중국 매체, 여자축구 한국원정 거부해야.jpg","656","https://www.clien.net//service/board/park/14635013?od=T31&po=0&category=&groupCd=","0"
"코로나19 치료제로 日 '아비간' 임시 허가 검토 중.gisa","485","https://www.clien.net//service/board/park/14635012?od=T31&po=0&category=&groupCd=","0"
"권영진 시장님 팩트체크당하셨네요.","1329","https://www.clien.net//service/board/park/14635011?od=T31&po=0&category=&groupCd=","0"
"판교 회사 재택근무 전환이네요","706","https://www.clien.net//service/board/park/14635010?od=T31&po=0&category=&groupCd=","0"
"이것이 나라입니다.","345","https://www.clien.net//service/board/park/14635009?od=T31&po=0&category=&groupCd=","0"
"타임지 한국 코로나 바이러스 뉴스는 상당히 중립적이네요.","889","https://www.clien.net//service/board/park/14635008?od=T31&po=0&category=&groupCd=","0"
"저도 이번사태의 피해자입니다","443","https://www.clien.net//service/board/park/14635007?od=T31&po=0&category=&groupCd=","0"
"가전제품중..컴퓨터나 노트북만 가격이 시대에 거꾸로 가는 느낌이 들어요","302","https://www.clien.net//service/board/park/14635006?od=T31&po=0&category=&groupCd=","0"
"안양시 5번째 확진자 떴네요..","656","https://www.clien.net//service/board/park/14635005?od=T31&po=0&category=&groupCd=","0"
"이 경우는 왜 하필 이름을 신천지로...","761","https://www.clien.net//service/board/park/14635003?od=T31&po=0&category=&groupCd=","0"
"(혐불편주위) 도박.jpg","942","https://www.clien.net//service/board/park/14635002?od=T31&po=0&category=&groupCd=","0"
"팟빵..신천지","843","https://www.clien.net//service/board/park/14635001?od=T31&po=0&category=&groupCd=","0"
"황교안 아저씨 진짜 미치겠음","1816","https://www.clien.net//service/board/park/14635000?od=T31&po=0&category=&groupCd=","0"
"농협이 금융사고 자주나져?","830","https://www.clien.net//service/board/park/14634998?od=T31&po=0&category=&groupCd=","0"
"신천지 못 믿겠다는 이재명, 신천지 과천 교회 강제진입 '명단 달라'.....중앙일보","1193","https://www.clien.net//service/board/park/14634997?od=T31&po=0&category=&groupCd=","0"
"신천지 수사에 교회가 대찬성은 안할거라 봤는데","607","https://www.clien.net//service/board/park/14634995?od=T31&po=0&category=&groupCd=","0"
"월간ㅈㅅ, 20002 찬양기사","947","https://www.clien.net//service/board/park/14634994?od=T31&po=0&category=&groupCd=","0"
"문재인 정부 가장 맘에 드는 건...","998","https://www.clien.net//service/board/park/14634993?od=T31&po=0&category=&groupCd=","0"
"지금이라도 중국 출입국 금지하자는 교수님하고 페북으로 썰전 중입니다.","717","https://www.clien.net//service/board/park/14634992?od=T31&po=0&category=&groupCd=","0"
"핑크당이 중국인 입국제한을 물고 늘어지는 이유를 실토했네요","1468","https://www.clien.net//service/board/park/14634991?od=T31&po=0&category=&groupCd=","0"
"흔한 유튜브 인트로.gif","1525","https://www.clien.net//service/board/park/14634990?od=T31&po=0&category=&groupCd=","0"
"굉장히 기분 나쁜 일이 있었네요.","631","https://www.clien.net//service/board/park/14634989?od=T31&po=0&category=&groupCd=","0"
"2020년 이후 생겨날 신조어 예측","643","https://www.clien.net//service/board/park/14634988?od=T31&po=0&category=&groupCd=","0"
"LG가 가격 낮추겠다고 미디어텍 AP 쓴 제품들 쏟아내는군요","1016","https://www.clien.net//service/board/park/14634986?od=T31&po=0&category=&groupCd=","0"
"이재명 작업건게 신천지였을수도...","1637","https://www.clien.net//service/board/park/14634985?od=T31&po=0&category=&groupCd=","0"
"5급 시험이 미뤄지니 9급 시험도 혼란하군요 ㄷ ㄷ","708","https://www.clien.net//service/board/park/14634984?od=T31&po=1&category=&groupCd=","1"
"대구시 '병상 1000개·의료인 300명 지원해 달라'..문 대통령에 요청","2038","https://www.clien.net//service/board/park/14634981?od=T31&po=1&category=&groupCd=","1"
"미,래통합당과 그 종교 로고의 우연의 일치성","888","https://www.clien.net//service/board/park/14634980?od=T31&po=1&category=&groupCd=","1"
"오늘 15시를 기해서 재택근무로 이번주 업무 진행 지시했네요.","1156","https://www.clien.net//service/board/park/14634979?od=T31&po=1&category=&groupCd=","1"
"네이버 댓글보다가 속이 안좋아지네요....","605","https://www.clien.net//service/board/park/14634978?od=T31&po=1&category=&groupCd=","1"
"163일 동안 고발인만 열심히 조사중","1174","https://www.clien.net//service/board/park/14634975?od=T31&po=1&category=&groupCd=","1"
"신천지는 인싸들의 모임인가요?","980","https://www.clien.net//service/board/park/14634974?od=T31&po=1&category=&groupCd=","1"
"문통님 대구본진 털이","2744","https://www.clien.net//service/board/park/14634973?od=T31&po=1&category=&groupCd=","1"
"신천지를 상대로 정부나 손해본 기업, 개인, 단체들이 소송 할수 있는 방법이 없을지.","415","https://www.clien.net//service/board/park/14634972?od=T31&po=1&category=&groupCd=","1"
"내가 보는 영화가 사바하라니.....!!!","1026","https://www.clien.net//service/board/park/14634971?od=T31&po=1&category=&groupCd=","1"
"신천지는 숫자에 목숨 거는 집단이어서 포렌식하면 전부 다 나올 겁니다.","1059","https://www.clien.net//service/board/park/14634969?od=T31&po=1&category=&groupCd=","1"
"이스라엘 입국 거부당한 한국인 관광객.. 오늘 귀국 예정","551","https://www.clien.net//service/board/park/14634968?od=T31&po=1&category=&groupCd=","1"
"KT 룰렛 돌린 결과물~","803","https://www.clien.net//service/board/park/14634967?od=T31&po=1&category=&groupCd=","1"
"쥐마켓 박근혜아웃 마스크 취소당했네요","713","https://www.clien.net//service/board/park/14634964?od=T31&po=1&category=&groupCd=","1"
"'가족과 같은 우한'···대구발 KF94 마스크 1만8700장 中간다","1838","https://www.clien.net//service/board/park/14634963?od=T31&po=1&category=&groupCd=","1"
"정부에 의한 종교 관리가 필요할 듯 합니다","363","https://www.clien.net//service/board/park/14634961?od=T31&po=1&category=&groupCd=","1"
"장화 신고 나오니","779","https://www.clien.net//service/board/park/14634959?od=T31&po=1&category=&groupCd=","1"
"군생활 했던 동네를 사진으로라도 보면 기분이 참 이상하네요;","479","https://www.clien.net//service/board/park/14634957?od=T31&po=1&category=&groupCd=","1"
"가정보육 꿀템 추천.","740","https://www.clien.net//service/board/park/14634955?od=T31&po=1&category=&groupCd=","1"
"TK 통합당 후보자들 근황","1856","https://www.clien.net//service/board/park/14634953?od=T31&po=1&category=&groupCd=","1"
"코로나 관련 Time지 이 부분 맘에 드네요...","3037","https://www.clien.net//service/board/park/14634952?od=T31&po=1&category=&groupCd=","1"
"금천구 독산동 확진자 발생...","2297","https://www.clien.net//service/board/park/14634951?od=T31&po=1&category=&groupCd=","1"
"올해 첫 슈크림 라떼","1327","https://www.clien.net//service/board/park/14634950?od=T31&po=1&category=&groupCd=","1"
"휴일인데 스벅왔네요...","493","https://www.clien.net//service/board/park/14634949?od=T31&po=1&category=&groupCd=","1"
"'입국 금지 행위는 정치 연극일 뿐'..美 전문가 의견 밝혀","2446","https://www.clien.net//service/board/park/14634947?od=T31&po=1&category=&groupCd=","1"
"문 대통령, '코로나 비상' 대구의료원 방문..의료진 격려","1645","https://www.clien.net//service/board/park/14634943?od=T31&po=1&category=&groupCd=","1"
"'임산부도 있는데'..모리셔스, 예고없이 한국인 입국거부","1524","https://www.clien.net//service/board/park/14634941?od=T31&po=1&category=&groupCd=","1"
"쿠팡 플렉스, 플렉서가 불법행위 한 게 되는거 아닌가요?","1681","https://www.clien.net//service/board/park/14634939?od=T31&po=1&category=&groupCd=","1"
"신천지 종특 '거짓말'","2147","https://www.clien.net//service/board/park/14634938?od=T31&po=1&category=&groupCd=","1"
"바이러스 참 알다가도 모르겠네요","749","https://www.clien.net//service/board/park/14634936?od=T31&po=2&category=&groupCd=","2"
"[속보] 문재인 대통령 '오늘 저녁부터 총리가 대구 상주하며 진두지휘'","5112","https://www.clien.net//service/board/park/14634935?od=T31&po=2&category=&groupCd=","2"
"'과천서 9300여명 예배'…경기도, 신천지 시설 강제진입 / JTBC News","3121","https://www.clien.net//service/board/park/14634934?od=T31&po=2&category=&groupCd=","2"
"황교안 “우한 코로나 종식될 때까지 방역 봉사”","2679","https://www.clien.net//service/board/park/14634933?od=T31&po=2&category=&groupCd=","2"
"어떤 분의 before - after ...","1415","https://www.clien.net//service/board/park/14634932?od=T31&po=2&category=&groupCd=","2"
"BTS ON 첫무대 뉴욕 그랜드 센트럴 터미널.swf","901","https://www.clien.net//service/board/park/14634931?od=T31&po=2&category=&groupCd=","2"
"[속보] 전세계 코로나19 확진자 8만명 넘어서","2167","https://www.clien.net//service/board/park/14634930?od=T31&po=2&category=&groupCd=","2"
"“이시국에 이런이벤트?..”....라는 제목에 낚였어요","774","https://www.clien.net//service/board/park/14634929?od=T31&po=2&category=&groupCd=","2"
"마스크 악덕업주들 싹다 처벌받았으면 좋겠어요","844","https://www.clien.net//service/board/park/14634927?od=T31&po=2&category=&groupCd=","2"
"이상한 컨셉 잡은 빙그레","2223","https://www.clien.net//service/board/park/14634926?od=T31&po=2&category=&groupCd=","2"
"우체국쇼핑몰 서버다운이네요 ㄷㄷ","1493","https://www.clien.net//service/board/park/14634925?od=T31&po=2&category=&groupCd=","2"
"[속보] 구미서 6번째 확진자 발생…22세 남성","2903","https://www.clien.net//service/board/park/14634924?od=T31&po=2&category=&groupCd=","2"
"박제 - hansh0801","466","https://www.clien.net//service/board/park/14634923?od=T31&po=2&category=&groupCd=","2"
"책상용 스피커가 왔네요.","1257","https://www.clien.net//service/board/park/14634922?od=T31&po=2&category=&groupCd=","2"
"약후방) 아스카 키라라 VR 연애게임 등판","3755","https://www.clien.net//service/board/park/14634921?od=T31&po=2&category=&groupCd=","2"
"이번 주에 예정되어 있던 각종 시험 및 고시 연기되네요.","471","https://www.clien.net//service/board/park/14634920?od=T31&po=2&category=&groupCd=","2"
"현대의 이런 방역 체계에도 전파를 막기힘든대","948","https://www.clien.net//service/board/park/14634919?od=T31&po=2&category=&groupCd=","2"
"갑자기 악성사이트 접근이라면서 뭔가 뜨네요","590","https://www.clien.net//service/board/park/14634917?od=T31&po=2&category=&groupCd=","2"
"전광훈 구속에도 브레이크 없는 범투본 '3·1절 집회 강행'","1257","https://www.clien.net//service/board/park/14634916?od=T31&po=2&category=&groupCd=","2"
"'한국이 더 위험' 이젠 중국 유학생들이 무더기로 입국 거부","1780","https://www.clien.net//service/board/park/14634915?od=T31&po=2&category=&groupCd=","2"
"이친구도 ㅅ천지일까요?","1539","https://www.clien.net//service/board/park/14634914?od=T31&po=2&category=&groupCd=","2"
